标题,歌曲链接,时长,歌手,歌手链接
一江水 - (超级剧集《天坑鹰猎》概念主题曲),https://music.163.comhttps://music.163.com/song?id=1306496991,04:26,徐佳莹/毛不易,https://music.163.comhttps://music.163.com/artist?id=9940
Mariners Apartment Complex,https://music.163.comhttps://music.163.com/song?id=1309504084,04:06,Lana Del Rey,https://music.163.comhttps://music.163.com/artist?id=66212
不染 - (电视剧《香蜜沉沉烬如霜》主题曲),https://music.163.comhttps://music.163.com/song?id=536099160,05:25,毛不易,https://music.163.comhttps://music.163.com/artist?id=12138269
年少有为,https://music.163.comhttps://music.163.com/song?id=1293886117,04:39,李荣浩,https://music.163.comhttps://music.163.com/artist?id=4292
孤独她呀,https://music.163.comhttps://music.163.com/song?id=1294889112,04:05,二珂,https://music.163.comhttps://music.163.com/artist?id=1081635
GTFO,https://music.163.comhttps://music.163.com/song?id=1309614546,03:27,Mariah Carey,https://music.163.comhttps://music.163.com/artist?id=66355
可能否,https://music.163.comhttps://music.163.com/song?id=569214126,03:47,木小雅,https://music.163.comhttps://music.163.com/artist?id=12037229
Survive,https://music.163.comhttps://music.163.com/song?id=1309545713,03:09,Don Diablo/Emeli Sandé/Gucci Mane,https://music.163.comhttps://music.163.com/artist?id=139072
戏精,https://music.163.comhttps://music.163.com/song?id=1299570603,03:12,徐秉龙,https://music.163.comhttps://music.163.com/artist?id=1197168
某某,https://music.163.comhttps://music.163.com/song?id=1301572067,04:01,孟凡明,https://music.163.comhttps://music.163.com/artist?id=12270575
Mission: Accomplished,https://music.163.comhttps://music.163.com/song?id=1294165125,01:15,Lorne Balfe,https://music.163.comhttps://music.163.com/artist?id=38682
我还年轻 我还年轻 - (Teens Edge),https://music.163.comhttps://music.163.com/song?id=1294889219,05:48,老王乐队,https://music.163.comhttps://music.163.com/artist?id=12676071
凌晨三点（demo）,https://music.163.comhttps://music.163.com/song?id=1306431916,01:32,陈硕子,https://music.163.comhttps://music.163.com/artist?id=12079044
只想对你好,https://music.163.comhttps://music.163.com/song?id=1308778438,04:05,徐真真,https://music.163.comhttps://music.163.com/artist?id=12094099
回乡偶书,https://music.163.comhttps://music.163.com/song?id=1308274542,03:28,江生,https://music.163.comhttps://music.163.com/artist?id=1011198
Connection,https://music.163.comhttps://music.163.com/song?id=574922126,02:28,OneRepublic,https://music.163.comhttps://music.163.com/artist?id=98105
没有人心疼我,https://music.163.comhttps://music.163.com/song?id=572042895,04:29,陈雪凝,https://music.163.comhttps://music.163.com/artist?id=12382970
蓝，白,https://music.163.comhttps://music.163.com/song?id=1309600459,04:01,皇甫佩奇/刁民,https://music.163.comhttps://music.163.com/artist?id=28602538
"Odyssey - (""奥德赛""系列皮肤主题曲)",https://music.163.comhttps://music.163.com/song?id=1308818622,03:20,英雄联盟,https://music.163.comhttps://music.163.com/artist?id=1047337
Loyal,https://music.163.comhttps://music.163.com/song?id=1309489380,03:27,Odesza,https://music.163.comhttps://music.163.com/artist?id=839108
倒数,https://music.163.comhttps://music.163.com/song?id=1299550532,03:49,G.E.M.邓紫棋,https://music.163.comhttps://music.163.com/artist?id=7763
Supernova,https://music.163.comhttps://music.163.com/song?id=1308778575,03:24,The Hand,https://music.163.comhttps://music.163.com/artist?id=80656
Rewind,https://music.163.comhttps://music.163.com/song?id=1309093655,03:20,G-Eazy/Anthony Russo,https://music.163.comhttps://music.163.com/artist?id=820036
醒着醉,https://music.163.comhttps://music.163.com/song?id=571338083,03:48,马良,https://music.163.comhttps://music.163.com/artist?id=13609637
听说,https://music.163.comhttps://music.163.com/song?id=505820138,04:19,丛铭君,https://music.163.comhttps://music.163.com/artist?id=12634049
一生等你 - (电视剧《媚者无疆》主题曲),https://music.163.comhttps://music.163.com/song?id=1294924388,03:36,袁娅维,https://music.163.comhttps://music.163.com/artist?id=10473
消愁,https://music.163.comhttps://music.163.com/song?id=569200213,04:21,毛不易,https://music.163.comhttps://music.163.com/artist?id=12138269
Meteorite,https://music.163.comhttps://music.163.com/song?id=1308782550,02:37,Emmit Fenn,https://music.163.comhttps://music.163.com/artist?id=12006313
"Heavy, California",https://music.163.comhttps://music.163.com/song?id=1296961327,03:04,Jungle,https://music.163.comhttps://music.163.com/artist?id=794125
Just Like This (мавлан Mix),https://music.163.comhttps://music.163.com/song?id=1306641059,02:53,мавлан музыка,https://music.163.comhttps://music.163.com/artist?id=12606574
Way Back Home,https://music.163.comhttps://music.163.com/song?id=863046037,03:34,SHAUN,https://music.163.comhttps://music.163.com/artist?id=1150188
